0,1,2,place_name,total_count,place_id
0.23222003929273086,0.04740132166458296,0.7203786390426862,천지연폭포,27995,808
0.20826580226904376,0.023500810372771474,0.7682333873581848,쇠소깍,1234,445
0.23842432619212164,0.02626123013130615,0.7353144436765722,천제연폭포,1447,800
0.22538483880336915,0.019750217833284928,0.7548649433633459,정방폭포,3443,636
0.09608091024020228,0.011378002528445006,0.8925410872313527,제주 박물관은 살아있다,791,271
0.21743119266055047,0.03486238532110092,0.7477064220183486,외돌개,1090,560
0.18181818181818182,0.048484848484848485,0.7696969696969697,황우지해안,165,919
0.3029087261785356,0.01805416248746239,0.679037111334002,서귀포치유의숲,997,385
0.20500927643784786,0.022263450834879406,0.7727272727272727,새연교,1078,366
0.271889400921659,0.05357142857142857,0.6745391705069125,쇠소깍해변,1736,447
0.1761006289308176,0.03563941299790356,0.7882599580712788,여미지식물원,477,529
0.18562874251497005,0.020958083832335328,0.7934131736526946,제주유리박물관,1002,730
0.2196467991169978,0.02869757174392936,0.7516556291390728,테디베어뮤지엄제주,906,835
0.2250996015936255,0.012948207171314742,0.7619521912350598,1100고지(휴게소),1004,1
0.27258444619010214,0.014139827179890024,0.7132757266300078,원앙폭포,1273,586
0.12588401697312587,0.033946251768033946,0.8401697312588402,서귀포자연휴양림,707,381
0.21428571428571427,0.026785714285714284,0.7589285714285714,세리월드 테마파크,1120,421
0.1648590021691974,0.021691973969631236,0.8134490238611713,감귤박물관,461,18
0.2813852813852814,0.025974025974025976,0.6926406926406926,퍼시픽 리솜 요트투어 샹그릴라,693,849
0.21908893709327548,0.019522776572668113,0.7613882863340564,게우지코지,461,41
0.22426470588235295,0.0625,0.7132352941176471,세계조가비박물관,816,420
0.16230366492146597,0.020942408376963352,0.8167539267015707,중문색달해수욕장,191,781
0.3435114503816794,0.015267175572519083,0.6412213740458015,새섬,131,365
0.19447287615148415,0.02661207778915046,0.7789150460593655,제주올레 6코스,977,724
0.11428571428571428,0.02857142857142857,0.8571428571428571,도순다원,70,183
0.22340425531914893,0.028368794326241134,0.74822695035461,돈내코,282,186
0.1360544217687075,0.047619047619047616,0.8163265306122449,범섬,294,285
0.17105263157894737,0.02631578947368421,0.8026315789473685,상효원,304,362
0.19148936170212766,0.0070921985815602835,0.8014184397163121,소천지,141,434
0.267515923566879,0.03184713375796178,0.7006369426751592,중문미로파크,157,779
0.20588235294117646,0.0392156862745098,0.7549019607843137,쉬리의언덕,612,456
0.14537444933920704,0.06607929515418502,0.788546255506608,초콜릿랜드,227,811
0.11702127659574468,0.02127659574468085,0.8617021276595744,제주올레 7코스,94,726
0.20180722891566266,0.03313253012048193,0.7650602409638554,서귀포칠십리시공원,332,386
0.13157894736842105,0.02631578947368421,0.8421052631578947,돔베낭골,76,189
0.23312331233123312,0.024302430243024302,0.7425742574257426,자구리공원,1111,623
0.24031007751937986,0.007751937984496124,0.751937984496124,올레여행자센터,129,554
0.14945054945054945,0.041758241758241756,0.8087912087912088,영실기암,455,536
0.28385899814471244,0.02040816326530612,0.6957328385899815,더 플래닛(THE PLANET),539,173
0.2026578073089701,0.04318936877076412,0.7541528239202658,왈종미술관,301,558
0.25252525252525254,0.030303030303030304,0.7171717171717171,엉덩물계곡,99,525
0.18090452261306533,0.005025125628140704,0.8140703517587939,천제연폭포 & 제주4.3중문면희생자위령비,199,801
0.1057347670250896,0.021505376344086023,0.8727598566308243,법화사지,1116,287
0.18045112781954886,0.015037593984962405,0.8045112781954887,황우지해안 열두굴,133,920
0.1721311475409836,0.16393442622950818,0.6639344262295082,제주올레 7-1코스,122,725
0.12686567164179105,0.014925373134328358,0.8582089552238806,제주다원 녹차미로공원,134,659
0.14537444933920704,0.06607929515418502,0.788546255506608,제주워터월드,227,729
0.1894093686354379,0.004073319755600814,0.8065173116089613,제주올레 8코스,491,727
0.23076923076923078,0.07692307692307693,0.6923076923076923,정모시쉼터,52,634
0.3055555555555556,0.013888888888888888,0.6805555555555556,제지기오름,72,754
0.16883116883116883,0.03896103896103896,0.7922077922077922,윈드1947 카트 테마파크,77,599
0.2002652519893899,0.01856763925729443,0.7811671087533156,굿다이버,754,73
0.22905027932960895,0.0335195530726257,0.7374301675977654,강정천유원지,358,24
0.0,0.05128205128205128,0.9487179487179487,서복전시관,39,389
0.04602510460251046,0.03347280334728033,0.9205020920502092,서귀포예술의전당,239,380
0.15217391304347827,0.0,0.8478260869565217,서건도,46,371
0.13725490196078433,0.0457516339869281,0.8169934640522876,간세공방,306,17
0.4121699196326062,0.018369690011481057,0.5694603903559128,소정방폭포,871,433
0.09876543209876543,0.06790123456790123,0.8333333333333334,소암현중화기념관,162,431
0.18055555555555555,0.013888888888888888,0.8055555555555556,소라의성,72,428
0.1806020066889632,0.020066889632107024,0.7993311036789298,베릿네오름,299,289
0.22467771639042358,0.016574585635359115,0.7587476979742173,보목포구,543,298
0.2215568862275449,0.041916167664670656,0.7365269461077845,법환포구,334,288
0.13680781758957655,0.05211726384364821,0.8110749185667753,삼매봉,307,353
0.21560130010834236,0.023835319609967497,0.7605633802816901,쇠소깍제트,923,446
0.3265044814340589,0.024327784891165175,0.649167733674776,걸매생태공원,781,36
0.2532588454376164,0.0335195530726257,0.7132216014897579,거믄여해안경승지,537,30
0.24242424242424243,0.030303030303030304,0.7272727272727273,한국야구명예전당(야구박물관),33,870
0.21646623496762257,0.02127659574468085,0.7622571692876966,존자암지,1081,768
0.3431372549019608,0.029411764705882353,0.6274509803921569,천주교 순례길 - 하논성당길,204,805
