0,1,2,3,4,place_name,total_count,place_id,area,like_num
0.0812287908555099,0.2505090194677621,0.1350598321128773,0.0468655116985175,0.4863368458653331,천지연폭포,27995,808,서귀포시,83
0.0453808752025931,0.3314424635332252,0.126418152350081,0.0235008103727714,0.473257698541329,쇠소깍,1234,445,서귀포시,65
0.0400829302004146,0.2522460262612301,0.1720801658604008,0.0255701451278507,0.5100207325501037,천제연폭포,1447,800,서귀포시,42
0.0371768806273598,0.2828928260238164,0.1690386291025268,0.0194597734533836,0.4914318907929131,정방폭포,3443,636,서귀포시,30
0.0328697850821744,0.3729456384323641,0.0884955752212389,0.011378002528445,0.4943109987357775,제주 박물관은 살아있다,791,271,서귀포시,23
0.0440366972477064,0.3532110091743119,0.1128440366972477,0.0348623853211009,0.455045871559633,외돌개,1090,560,서귀포시,22
0.0363636363636363,0.2484848484848484,0.1212121212121212,0.0484848484848484,0.5454545454545454,황우지해안,165,919,서귀포시,22
0.0451354062186559,0.2637913741223671,0.2487462387161484,0.0180541624874623,0.4242728184553661,서귀포치유의숲,997,385,서귀포시,21
0.049165120593692,0.37569573283859,0.1020408163265306,0.0222634508348794,0.4508348794063079,새연교,1078,366,서귀포시,13
0.1238479262672811,0.2557603686635945,0.1296082949308755,0.0535714285714285,0.4372119815668203,쇠소깍해변,1736,447,서귀포시,12
0.0482180293501048,0.3018867924528302,0.1111111111111111,0.0335429769392033,0.5052410901467506,여미지식물원,477,529,서귀포시,11
0.0049900199600798,0.2235528942115768,0.1806387225548902,0.0209580838323353,0.5698602794411177,제주유리박물관,1002,730,서귀포시,9
0.0551876379690949,0.3289183222958057,0.1335540838852097,0.0286975717439293,0.4536423841059602,테디베어뮤지엄제주,906,835,서귀포시,9
0.0786852589641434,0.3027888446215139,0.1165338645418326,0.0129482071713147,0.4890438247011952,1100고지(휴게소),1004,1,서귀포시,9
0.035349567949725,0.3032207384131972,0.2615868028279654,0.01413982717989,0.3857030636292223,원앙폭포,1273,586,서귀포시,7
0.0268741159830268,0.2828854314002829,0.1485148514851485,0.0367751060820367,0.504950495049505,서귀포자연휴양림,707,381,서귀포시,7
0.1160714285714285,0.2544642857142857,0.0982142857142857,0.0267857142857142,0.5044642857142857,세리월드 테마파크,1120,421,서귀포시,6
0.0650759219088937,0.3796095444685466,0.0759219088937093,0.0216919739696312,0.457700650759219,감귤박물관,461,18,서귀포시,6
0.0995670995670995,0.4271284271284271,0.1515151515151515,0.0259740259740259,0.2958152958152958,퍼시픽 리솜 요트투어 샹그릴라,693,849,서귀포시,5
0.0650759219088937,0.3579175704989154,0.0607375271149674,0.0173535791757049,0.4989154013015184,게우지코지,461,41,서귀포시,5
0.0735294117647058,0.3125,0.0955882352941176,0.0625,0.4558823529411764,세계조가비박물관,816,420,서귀포시,5
0.031413612565445,0.4136125654450261,0.0837696335078534,0.0209424083769633,0.450261780104712,중문색달해수욕장,191,781,서귀포시,5
0.2748091603053435,0.2824427480916031,0.0610687022900763,0.015267175572519,0.366412213740458,새섬,131,365,서귀포시,5
0.0624360286591606,0.3285568065506653,0.1187308085977482,0.0266120777891504,0.4636642784032753,제주올레 6코스,977,724,서귀포시,5
0.0285714285714285,0.2857142857142857,0.1428571428571428,0.0285714285714285,0.5142857142857142,도순다원,70,183,서귀포시,5
0.0212765957446808,0.3971631205673759,0.1489361702127659,0.0283687943262411,0.4042553191489361,돈내코,282,186,서귀포시,5
0.1156462585034013,0.3095238095238095,0.0748299319727891,0.0476190476190476,0.4523809523809524,범섬,294,285,서귀포시,5
0.0197368421052631,0.4736842105263157,0.0888157894736842,0.0263157894736842,0.3914473684210526,상효원,304,362,서귀포시,5
0.0283687943262411,0.4822695035460992,0.1702127659574468,0.0070921985815602,0.3120567375886525,소천지,141,434,서귀포시,4
0.0318471337579617,0.464968152866242,0.1401273885350318,0.0318471337579617,0.3312101910828025,중문미로파크,157,779,서귀포시,4
0.0196078431372549,0.4738562091503268,0.1274509803921568,0.0392156862745098,0.3398692810457516,쉬리의언덕,612,456,서귀포시,4
0.079295154185022,0.2334801762114537,0.0704845814977973,0.066079295154185,0.5506607929515418,초콜릿랜드,227,811,서귀포시,4
0.0,0.3085106382978723,0.1276595744680851,0.0212765957446808,0.5425531914893617,제주올레 7코스,94,726,서귀포시,3
0.0090361445783132,0.394578313253012,0.1204819277108433,0.0331325301204819,0.4427710843373494,서귀포칠십리시공원,332,386,서귀포시,3
0.0394736842105263,0.4210526315789473,0.1052631578947368,0.0263157894736842,0.4078947368421052,돔베낭골,76,189,서귀포시,3
0.0369036903690369,0.2574257425742574,0.1773177317731773,0.0234023402340234,0.504950495049505,자구리공원,1111,623,서귀포시,2
0.0775193798449612,0.4573643410852713,0.1782945736434108,0.0077519379844961,0.2790697674418604,올레여행자센터,129,554,서귀포시,2
0.0329670329670329,0.3868131868131868,0.0703296703296703,0.0373626373626373,0.4725274725274725,영실기암,455,536,서귀포시,2
0.1762523191094619,0.2931354359925788,0.1020408163265306,0.0204081632653061,0.4081632653061224,더 플래닛(THE PLANET),539,173,서귀포시,2
0.0797342192691029,0.2292358803986711,0.1561461794019933,0.0431893687707641,0.4916943521594684,왈종미술관,301,558,서귀포시,2
0.0303030303030303,0.2222222222222222,0.1919191919191919,0.0303030303030303,0.5252525252525253,엉덩물계곡,99,525,서귀포시,2
0.0100502512562814,0.2864321608040201,0.1608040201005025,0.0050251256281407,0.5376884422110553,천제연폭포 & 제주4.3중문면희생자위령비,199,801,서귀포시,2
